respondent_id,age,gender,education_level,current_occupation,occupation_category,years_experience,industry,ai_exposure_score,perceived_threat_level,actual_automation_risk,already_using_ai,hours_saved_weekly,job_satisfaction,income_bracket,geographic_region,company_size,has_technical_skills,willing_to_retrain,confidence_in_adaptability,primary_concern
84,53,Female,Bachelors,Office Administrator,Administrative,28,Legal,72,8,75,Yes,2,5,50000-75000,East,Medium,No,No,4,Document management
85,32,Male,Bachelors,Quality Assurance Engineer,Technology,8,Technology,70,6,58,Yes,8,7,100000-150000,West,Large,Yes,Yes,8,Test automation
86,45,Female,High School,Janitorial Staff,Service,23,Education,25,3,42,No,0,7,<30000,Midwest,Large,No,No,4,Robotic cleaning
87,29,Male,Masters,Quant Analyst,Finance,5,Finance,82,7,72,Yes,8,8,150000+,East,Large,Yes,Yes,8,Model black boxes
88,36,Female,Bachelors,Librarian,Education,12,Education,65,7,68,Yes,3,7,50000-75000,South,Medium,No,Maybe,6,Cataloging automation
89,50,Male,Masters,Physician,Healthcare,25,Healthcare,35,2,18,Yes,2,9,150000+,West,Large,Yes,No,9,Diagnostic tools
90,28,Female,Bachelors,Podcast Producer,Media,4,Media,58,6,52,Yes,7,8,50000-75000,West,Small,Yes,Yes,8,Content generation
91,42,Male,Associates,Landscape Designer,Design,19,Landscaping,32,3,35,Yes,3,8,50000-75000,South,Small,No,No,8,Planning software
92,33,Female,Masters,Speech Therapist,Healthcare,9,Healthcare,28,2,15,Yes,1,9,75000-100000,East,Medium,Yes,No,9,Personalized care
93,54,Male,High School,Machine Operator,Manufacturing,32,Manufacturing,58,6,72,No,0,6,50000-75000,Midwest,Large,No,No,4,Automation replacement
94,26,Female,Bachelors,Brand Strategist,Marketing,3,Advertising,70,7,60,Yes,8,7,75000-100000,East,Medium,Yes,Yes,7,Strategy automation
95,47,Male,Bachelors,Restaurant Manager,Service,24,Hospitality,48,5,52,Yes,4,7,75000-100000,South,Medium,No,No,6,Kitchen automation
96,30,Female,Masters,Cognitive Scientist,Research,6,Technology,52,5,42,Yes,4,9,100000-150000,West,Large,Yes,Yes,9,AI applications
97,52,Female,Associates,Medical Receptionist,Healthcare,28,Healthcare,75,8,78,Yes,2,5,30000-50000,Midwest,Medium,No,No,3,Scheduling automation
98,35,Male,Bachelors,Telecommunications Specialist,Technology,13,Telecom,62,6,55,Yes,5,7,75000-100000,East,Large,Yes,Maybe,7,5G transition
99,29,Female,Bachelors,Forensic Analyst,Government,5,Law Enforcement,45,4,38,Yes,3,8,75000-100000,East,Large,Yes,Yes,8,Analysis tools
100,43,Male,Masters,Operations Research Analyst,Research,18,Logistics,72,6,62,Yes,7,8,100000-150000,Midwest,Large,Yes,Yes,8,Optimization algorithms
